#gp_printername,vid,pid,type,gp_options
#
# The goal here is to cover unique models within gutenprint itself.
# All print sizes need to be covered.
#
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w432h576;StpSharpen=9
fujifilm-ask-300,0x04cb,0x5006,0x4,PageSize=w360h360
fujifilm-ask-300,0x04cb,0x5006,0x4,PageSize=w360h504
#
dnp-ds40,0x1343,0x0003,400,PageSize=w288h432;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w288h432-div2;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h432;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h576;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h576-div2;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h576-div4;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h576-w432h432_w432h144;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h648;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,210,PageSize=B7;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,210,PageSize=w360h504;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,210,PageSize=w360h504-div2;Resolution=300x300dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w288h432;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w288h432-div2;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h432;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h576;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h576-div2;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h576-div4;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h576-w432h432_w432h144;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h648;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,210,PageSize=B7;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,210,PageSize=w360h504;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,210,PageSize=w360h504-div2;Resolution=300x600dpi
dnp-ds40,0x1343,0x0003,400,PageSize=w432h576;Resolution=300x600dpi;StpLaminate=Matte
#
dnp-dsrx1,0x1343,0x0005,310,PageSize=w288h432;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w288h432-div2;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w432h432;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w432h576;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w432h576-div2;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w432h576-div4;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,210,PageSize=B7;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,210,PageSize=w360h360;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,210,PageSize=w360h504;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,210,PageSize=w360h504-div2;Resolution=300x300dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w288h432;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w288h432-div2;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w432h432;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w432h576;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w432h576-div2;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w432h576-div4;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,210,PageSize=B7;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,210,PageSize=w360h360;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,210,PageSize=w360h504;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,210,PageSize=w360h504-div2;Resolution=300x600dpi
dnp-dsrx1,0x1343,0x0005,310,PageSize=w432h576;Resolution=300x600dpi;StpLaminate=Matte
#
citizen-cw-01,0x1343,0x0002,400,PageSize=w288h432;Resolution=334x334dpi
citizen-cw-01,0x1343,0x0002,400,PageSize=w432h576;Resolution=334x334dpi
citizen-cw-01,0x1343,0x0002,400,PageSize=w432h648;Resolution=334x334dpi
citizen-cw-01,0x1343,0x0002,210,PageSize=w252h338;Resolution=334x334dpi
citizen-cw-01,0x1343,0x0002,210,PageSize=B7;Resolution=334x334dpi
citizen-cw-01,0x1343,0x0002,210,PageSize=w360h504;Resolution=334x334dpi
citizen-cw-01,0x1343,0x0002,210,PageSize=w338h504;Resolution=334x334dpi
citizen-cw-01,0x1343,0x0002,400,PageSize=w288h432;Resolution=334x600dpi
citizen-cw-01,0x1343,0x0002,400,PageSize=w432h576;Resolution=334x600dpi
citizen-cw-01,0x1343,0x0002,400,PageSize=w432h648;Resolution=334x600dpi
citizen-cw-01,0x1343,0x0002,210,PageSize=w252h338;Resolution=334x600dpi
citizen-cw-01,0x1343,0x0002,210,PageSize=B7;Resolution=334x600dpi
citizen-cw-01,0x1343,0x0002,210,PageSize=w360h504;Resolution=334x600dpi
citizen-cw-01,0x1343,0x0002,210,PageSize=w338h504;Resolution=334x600dpi
#
dnp-ds620,0x1452,0x8b01,400,PageSize=w288h432;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w288h432-div2;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w324h432;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h432;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576-div2;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576-div4;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576-w432h432_w432h144;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h648;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h648-div2;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=B7;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=w360h360;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=w360h504;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=w360h504-div2;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=w360h504-w360h360_w360h144;Resolution=300x300dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576;Resolution=300x300dpi;StpLaminate=Matte
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576;Resolution=300x300dpi;StpLaminate=MatteFine
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576;Resolution=300x300dpi;StpLaminate=MatteLuster
dnp-ds620,0x1452,0x8b01,400,PageSize=w288h432;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w288h432-div2;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w324h432;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h432;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576-div2;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576-div4;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576-w432h432_w432h144;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h648;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h648-div2;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=B7;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=w360h360;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=w360h504;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=w360h504-div2;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,210,PageSize=w360h504-w360h360_w360h144;Resolution=300x600dpi
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576;Resolution=300x600dpi;StpLaminate=Matte
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576;Resolution=300x600dpi;StpLaminate=MatteFine
dnp-ds620,0x1452,0x8b01,400,PageSize=w432h576;Resolution=300x600dpi;StpLaminate=MatteLuster
#
dnp-ds80,0x1343,0x0004,510,PageSize=w288h576;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w360h576;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w432h576;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h576;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h576-div2;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h648-w576h360_w576h288;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=c8x10;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=c8x10-div2;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=c8x10-w576h432_w576h360;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h842;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864-div2;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864-div3;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864-w576h576_w576h288;Resolution=300x300dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864;Resolution=300x300dpi;StpLaminate=Matte
dnp-ds80,0x1343,0x0004,510,PageSize=w288h576;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w360h576;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w432h576;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h576;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h576-div2;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h648-w576h360_w576h288;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=c8x10;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=c8x10-div2;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=c8x10-w576h432_w576h360;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h842;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864-div2;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864-div3;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864-w576h576_w576h288;Resolution=300x600dpi
dnp-ds80,0x1343,0x0004,510,PageSize=w576h864;Resolution=300x600dpi;StpLaminate=Matte
#
dnp-ds820,0x1452,0x9001,510,PageSize=w288h576;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w360h576;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w432h576;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h576;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h576-div2;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h648;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h648-w576h360_w576h288;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=c8x10;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=c8x10-div2;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=c8x10-w576h432_w576h360;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h842;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864-div2;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864-div3;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864-w576h576_w576h288;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864;Resolution=300x300dpi;StpLaminate=Matte
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864;Resolution=300x300dpi;StpLaminate=MatteFine
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864;Resolution=300x300dpi;StpLaminate=MatteLuster
dnp-ds820,0x1452,0x9001,600,PageSize=A4x4inch;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x5inch;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A5;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x6inch;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x8inch;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x10inch;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x10inch-div2;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4-div2;Resolution=300x300dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w288h576;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w360h576;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w432h576;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h576;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h576-div2;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h648;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h648-w576h360_w576h288;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=c8x10;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=c8x10-div2;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=c8x10-w576h432_w576h360;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h842;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864-div2;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864-div3;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864-w576h576_w576h288;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864;Resolution=300x600dpi;StpLaminate=Matte
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864;Resolution=300x600dpi;StpLaminate=MatteFine
dnp-ds820,0x1452,0x9001,510,PageSize=w576h864;Resolution=300x600dpi;StpLaminate=MatteLuster
dnp-ds820,0x1452,0x9001,600,PageSize=A4x4inch;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x5inch;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A5;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x6inch;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x8inch;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x10inch;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4x10inch-div2;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4;Resolution=300x600dpi
dnp-ds820,0x1452,0x9001,600,PageSize=A4-div2;Resolution=300x600dpi
#
dnp-ds80dx,0x1343,0x0008,510,PageSize=w288h576;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w360h576;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w432h576;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h576;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h576-div2;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h648-w576h360_w576h288;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10-div2;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10-w576h432_w576h360;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h842;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-div2;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-div3;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-w576h576_w576h288;Resolution=300x300dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x300dpi;StpLaminate=Matte;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w288h576;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w360h576;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w432h576;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h576;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h576-div2;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h648-w576h360_w576h288;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10-div2;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10-w576h432_w576h360;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h842;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-div2;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-div3;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-w576h576_w576h288;Resolution=300x600dpi;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x600dpi;StpLaminate=Matte;MediaType=Roll
dnp-ds80dx,0x1343,0x0008,510,PageSize=w288h576;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w360h576;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w432h576;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h576;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h576-div2;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10-div2;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h774-w576h756;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h774;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-div2;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-div3sheet;Resolution=300x300dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x300dpi;StpLaminate=Matte;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w288h576;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w360h576;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w432h576;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h576;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h576-div2;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=c8x10-div2;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h774-w576h756;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h774;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-div2;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864-div3sheet;Resolution=300x600dpi;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x600dpi;StpLaminate=Matte;MediaType=Sheet
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x600dpi;MediaType=Sheet;Duplex=DuplexNoTumble
dnp-ds80dx,0x1343,0x0008,510,PageSize=w576h864;Resolution=300x600dpi;MediaType=Sheet;Duplex=DuplexTumble
#
#magicard-tango-2e,0x0c1f,0x1800
