#gp_printername,vid,pid,type,gp_options
#
# The goal here is to cover unique models within gutenprint itself.
# All print sizes need to be covered.
#
shinko-chcs2145,0x10ce,0x000e,3,PageSize=w360h504;StpLaminate=ExtraGlossy
shinko-chcs2145,0x10ce,0x000e,3,PageSize=w360h504;StpLaminate=ExtraGlossyFine
shinko-chcs2145,0x10ce,0x000e,3,PageSize=w360h504;StpLaminate=Glossy
shinko-chcs2145,0x10ce,0x000e,3,PageSize=w360h504;StpLaminate=GlossyFine
shinko-chcs2145,0x10ce,0x000e,3,PageSize=w360h504;StpLaminate=Matte
shinko-chcs2145,0x10ce,0x000e,3,PageSize=w360h504;StpLaminate=MatteFine
#
shinko-chcs6145,0x10ce,0x0019,1,PageSize=w144h432
shinko-chcs6145,0x10ce,0x0019,1,PageSize=w288h432
shinko-chcs6145,0x10ce,0x0019,4,PageSize=w288h432
shinko-chcs6145,0x10ce,0x0019,1,PageSize=w288h432-div2
shinko-chcs6145,0x10ce,0x0019,4,PageSize=w432h432
shinko-chcs6145,0x10ce,0x0019,4,PageSize=w432h576
shinko-chcs6145,0x10ce,0x0019,4,PageSize=w432h576-w432h432_w432h144
shinko-chcs6145,0x10ce,0x0019,4,PageSize=w432h576-div2
shinko-chcs6145,0x10ce,0x0019,5,PageSize=w432h648
shinko-chcs6145,0x10ce,0x0019,3,PageSize=w360h360
shinko-chcs6145,0x10ce,0x0019,3,PageSize=w360h504
shinko-chcs6145,0x10ce,0x0019,3,PageSize=w360h504;StpLamination=None
shinko-chcs6145,0x10ce,0x0019,3,PageSize=w360h504;StpLamination=Glossy
shinko-chcs6145,0x10ce,0x0019,3,PageSize=w360h504;StpLamination=Matte
#
sinfonia-chcs2245,0x10ce,0x0039,1,PageSize=w144h432
sinfonia-chcs2245,0x10ce,0x0039,1,PageSize=w288h432
sinfonia-chcs2245,0x10ce,0x0039,4,PageSize=w288h432
sinfonia-chcs2245,0x10ce,0x0039,1,PageSize=w288h432-div2
sinfonia-chcs2245,0x10ce,0x0039,4,PageSize=w432h432
sinfonia-chcs2245,0x10ce,0x0039,4,PageSize=w432h576
sinfonia-chcs2245,0x10ce,0x0039,4,PageSize=w432h576-w432h432_w432h144
sinfonia-chcs2245,0x10ce,0x0039,4,PageSize=w432h576-div2
sinfonia-chcs2245,0x10ce,0x0039,5,PageSize=w432h648
sinfonia-chcs2245,0x10ce,0x0039,3,PageSize=w360h360
sinfonia-chcs2245,0x10ce,0x0039,3,PageSize=w360h504
sinfonia-chcs2245,0x10ce,0x0039,3,PageSize=w360h504;StpLamination=None
sinfonia-chcs2245,0x10ce,0x0039,3,PageSize=w360h504;StpLamination=Glossy
sinfonia-chcs2245,0x10ce,0x0039,3,PageSize=w360h504;StpLamination=Matte
#
ciaat-brava-21,0x10ce,0x001e,4,PageSize=w288h432
#
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=w288h576
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=w360h576
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=w432h576
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=w576h576
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=w576h576-div2
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=c8x10
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=c8x10-div2
shinko-chcs6245,0x10ce,0x001d,0x12,PageSize=w576h864
shinko-chcs6245,0x10ce,0x001d,0x12,PageSize=w576h864-div2
shinko-chcs6245,0x10ce,0x001d,0x12,PageSize=w576h864-div3
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=c8x10;StpLamination=Glossy
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=c8x10;StpLamination=Matte
shinko-chcs6245,0x10ce,0x001d,0x11,PageSize=c8x10;StpLamination=None
#
kodak-8810,0x040a,0x404d,0x11,PageSize=w288h576
kodak-8810,0x040a,0x404d,0x11,PageSize=c8x10
kodak-8810,0x040a,0x404d,0x11,PageSize=c8x10-div2
kodak-8810,0x040a,0x404d,0x12,PageSize=A4
kodak-8810,0x040a,0x404d,0x12,PageSize=w576h864
kodak-8810,0x040a,0x404d,0x12,PageSize=w576h864-div2
kodak-8810,0x040a,0x404d,0x12,PageSize=w576h576
kodak-8810,0x040a,0x404d,0x12,PageSize=w576h576-div2
kodak-8810,0x040a,0x404d,0x12,PageSize=w360h576
kodak-8810,0x040a,0x404d,0x12,PageSize=w432h576
kodak-8810,0x040a,0x404d,0x11,PageSize=w288h576;StpLamination=Glossy
kodak-8810,0x040a,0x404d,0x11,PageSize=w288h576;StpLamination=Satin
#
sony-updr150,0x054c,0x01e8,,PageSize=w288h432
sony-updr150,0x054c,0x01e8,,PageSize=w432h576
sony-updr150,0x054c,0x01e8,,PageSize=B7
sony-updr150,0x054c,0x01e8,,PageSize=w360h504
#
sony-upcr10l,0x054c,0x0226,,PageSize=w288h432
sony-upcr10l,0x054c,0x0226,,PageSize=B7
sony-upcr10l,0x054c,0x0226,,PageSize=w260h504
#
sony-updr200,0x054c,0x035f,,PageSize=w288h432
sony-updr200,0x054c,0x035f,,PageSize=w288h432-div2
sony-updr200,0x054c,0x035f,,PageSize=w432h576
sony-updr200,0x054c,0x035f,,PageSize=w432h576-div2
sony-updr200,0x054c,0x035f,,PageSize=B7
sony-updr200,0x054c,0x035f,,PageSize=w360h504
sony-updr200,0x054c,0x035f,,PageSize=w360h504-div2
sony-updr200,0x054c,0x035f,,PageSize=B7,StpLaminate=Glossy
sony-updr200,0x054c,0x035f,,PageSize=B7,StpLaminate=Matte
#
sony-upd895,0x054c,0x0049,,PageSize=w213h284
sony-upd895,0x054c,0x0049,,PageSize=w284h284
sony-upd895,0x054c,0x0049,,PageSize=w426h284
sony-upd895,0x054c,0x0049,,PageSize=w907h284
#
sony-upd897,0x054c,0x01e7,,PageSize=w213h284
sony-upd897,0x054c,0x01e7,,PageSize=w284h284
sony-upd897,0x054c,0x01e7,,PageSize=w426h284
sony-upd897,0x054c,0x01e7,,PageSize=w907h284
#
sony-upd898,0x054c,0xabcd,,PageSize=w213h284
sony-upd898,0x054c,0xabcd,,PageSize=w284h284
sony-upd898,0x054c,0xabcd,,PageSize=w426h284
sony-upd898,0x054c,0xabcd,,PageSize=w907h284
sony-upcr20l,0x054c,0xbcde,,PageSize=w288h432
sony-upcr20l,0x054c,0xbcde,,PageSize=w432h576
sony-upcr20l,0x054c,0xbcde,,PageSize=w432h576-div2
sony-upcr20l,0x054c,0xbcde,,PageSize=B7
sony-upcr20l,0x054c,0xbcde,,PageSize=w360h504
sony-upcr20l,0x054c,0xbcde,,PageSize=w360h504-div2
#
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w213h284
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w227h284
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h284
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h426
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h1277
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h284;MediaType=Standard
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h284;MediaType=HighDensity
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h284;MediaType=HighGlossy
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h284;StpUserComment=0123456789abcdef
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h284;StpComment=DateTime
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h284;StpComment=Date
mitsubishi-p93d,0x06d3,0x0398,,PageSize=w284h284;StpComment=Settings
#
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w213h284
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w227h284
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h284
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h426
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h1277
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h284;MediaType=Standard
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h284;MediaType=HighDensity
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h284;MediaType=HighGlossy
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h284;MediaType=HighGlossyK95HG
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h284;StpUserComment=0123456789abcdef
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h284;StpComment=DateTime
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h284;StpComment=Date
mitsubishi-p95d,0x06d3,0x3b10,,PageSize=w284h284;StpComment=Settings
#
mitsubishi-9550dw,0x06d3,0x03a1,0x2,PageSize=w288h432
mitsubishi-9550dw,0x06d3,0x03a1,0x2,PageSize=w288h432-div2
mitsubishi-9550dw,0x06d3,0x03a1,0x6,PageSize=w432h576
mitsubishi-9550dw,0x06d3,0x03a1,0x5,PageSize=w432h612
mitsubishi-9550dw,0x06d3,0x03a1,0x5,PageSize=w432h648
mitsubishi-9550dw,0x06d3,0x03a1,0x1,PageSize=B7
mitsubishi-9550dw,0x06d3,0x03a1,0x4,PageSize=w360h504
mitsubishi-9550dw,0x06d3,0x03a1,0x1,PageSize=B7;StpPrintSpeed=Fine
mitsubishi-9550dw,0x06d3,0x03a1,0x1,PageSize=B7;StpPrintSpeed=FineDeep
mitsubishi-9550dw,0x06d3,0x03a1,0x1,PageSize=B7;StpPrintSpeed=SuperFine
#
mitsubishi-9550dw-s,0x06d3,0x03a5,0x2,PageSize=w288h432
mitsubishi-9550dw-s,0x06d3,0x03a5,0x2,PageSize=w288h432-div2
mitsubishi-9550dw-s,0x06d3,0x03a5,0x5,PageSize=w432h576
mitsubishi-9550dw-s,0x06d3,0x03a5,0x5,PageSize=w432h612
mitsubishi-9550dw-s,0x06d3,0x03a5,0x5,PageSize=w432h648
mitsubishi-9550dw-s,0x06d3,0x03a5,0x4,PageSize=B7
mitsubishi-9550dw-s,0x06d3,0x03a5,0x4,PageSize=w360h504
mitsubishi-9550dw-s,0x06d3,0x03a5,0x4,PageSize=B7;StpPrintSpeed=Fine
mitsubishi-9550dw-s,0x06d3,0x03a5,0x4,PageSize=B7;StpPrintSpeed=FineDeep
mitsubishi-9550dw-s,0x06d3,0x03a5,0x4,PageSize=B7;StpPrintSpeed=SuperFine
#
mitsubishi-9600dw,0x06d3,0x03a9,0x2,PageSize=w288h432;Resolution=300x300dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x6,PageSize=w432h576;Resolution=300x300dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x5,PageSize=w432h612;Resolution=300x300dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x5,PageSize=w432h648;Resolution=300x300dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x4,PageSize=B7;Resolution=300x300dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x4,PageSize=w360h504;Resolution=300x300dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x2,PageSize=w288h432;Resolution=600x600dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x6,PageSize=w432h576;Resolution=600x600dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x5,PageSize=w432h612;Resolution=600x600dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x5,PageSize=w432h648;Resolution=600x600dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x4,PageSize=B7;Resolution=600x600dpi
mitsubishi-9600dw,0x06d3,0x03a9,0x4,PageSize=w360h504;Resolution=600x600dpi
#
mitsubishi-9800dw,0x06d3,0x03ad,0x2,PageSize=w288h432
mitsubishi-9800dw,0x06d3,0x03ad,0x6,PageSize=w432h576
mitsubishi-9800dw,0x06d3,0x03ad,0x5,PageSize=w432h612
mitsubishi-9800dw,0x06d3,0x03ad,0x5,PageSize=w432h648
mitsubishi-9800dw,0x06d3,0x03ad,0x5,PageSize=w432h648;StpUseLUT=True
mitsubishi-9800dw,0x06d3,0x03ad,0x5,PageSize=w432h648;StpUseLUT=False
mitsubishi-9800dw,0x06d3,0x03ad,0x4,PageSize=B7
mitsubishi-9800dw,0x06d3,0x03ad,0x4,PageSize=B7;StpPrintSpeed=Fine
mitsubishi-9800dw,0x06d3,0x03ad,0x4,PageSize=B7;StpPrintSpeed=FineHG
mitsubishi-9800dw,0x06d3,0x03ad,0x4,PageSize=B7;StpPrintSpeed=SuperFine
mitsubishi-9800dw,0x06d3,0x03ad,0x4,PageSize=w360h504
mitsubishi-9800dw-s,0x06d3,0x03ae,0x2,PageSize=w288h432
mitsubishi-9800dw-s,0x06d3,0x03ae,0x5,PageSize=w432h576
mitsubishi-9800dw-s,0x06d3,0x03ae,0x5,PageSize=w432h612
mitsubishi-9800dw-s,0x06d3,0x03ae,0x5,PageSize=w432h648
mitsubishi-9800dw-s,0x06d3,0x03ae,0x4,PageSize=B7
mitsubishi-9800dw-s,0x06d3,0x03ae,0x4,PageSize=w360h504
#
mitsubishi-9810dw,0x06d3,0x3b21,0x2,PageSize=w288h432
mitsubishi-9810dw,0x06d3,0x3b21,0x6,PageSize=w432h576
mitsubishi-9810dw,0x06d3,0x3b21,0x5,PageSize=w432h612
mitsubishi-9810dw,0x06d3,0x3b21,0x5,PageSize=w432h648
mitsubishi-9810dw,0x06d3,0x3b21,0x5,PageSize=w432h648;StpUseLUT=True
mitsubishi-9810dw,0x06d3,0x3b21,0x5,PageSize=w432h648;StpUseLUT=False
mitsubishi-9810dw,0x06d3,0x3b21,0x4,PageSize=B7
mitsubishi-9810dw,0x06d3,0x3b21,0x4,PageSize=w360h504
mitsubishi-9810dw,0x06d3,0x3b21,0x2,PageSize=w288h432;StpLaminate=Matte
mitsubishi-9810dw,0x06d3,0x3b21,0x6,PageSize=w432h576;StpLaminate=Matte
mitsubishi-9810dw,0x06d3,0x3b21,0x5,PageSize=w432h612;StpLaminate=Matte
mitsubishi-9810dw,0x06d3,0x3b21,0x5,PageSize=w432h648;StpLaminate=Matte
mitsubishi-9810dw,0x06d3,0x3b21,0x4,PageSize=B7;StpLaminate=Matte
mitsubishi-9810dw,0x06d3,0x3b21,0x4,PageSize=w360h504;StpLaminate=Matte
mitsubishi-9810dw,0x06d3,0x3b21,0x4,PageSize=B7;StpPrintSpeed=Fine
mitsubishi-9810dw,0x06d3,0x3b21,0x4,PageSize=B7;StpPrintSpeed=FineHG
mitsubishi-9810dw,0x06d3,0x3b21,0x4,PageSize=B7;StpPrintSpeed=SuperFine
#
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w144h432
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w288h432
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w288h432-div2
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w432h432
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w432h576
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w432h576-div2
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w432h612
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w432h648
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w432h648-div2
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w432h648-div3
