#backend,vid,pid,type,filename
mitsud90,0x06d3,0x3b60,mitsu_d90_4x6.raw,ADDMORE
mitsuk60,0x06d3,0x3b31,mitsu_k60_4x6-16bpp.raw
mitsuk60,0x06d3,0x3b31,mitsu_k60_4x6-8bpp.raw
mitsup93d,0x06d3,0x0398,mitsu_p93d-1280x1920.raw
mitsup95d,0x06d3,0x3b10,mitsu_p95d-1280x1920.raw
citizencw01,0x1343,0x0002,citizen_cw01_4x6.raw
citizencw01,0x1343,0x0002,citizen_cw01_6x9.raw
dnp_citizen,0x1343,0x0003,dnp_ds40_4x6.raw,FAMILY
dnpds40,0x1343,0x0003,dnp_ds40_4x6.raw,ADDMORE
dnpds620,0x1452,0x8b01,dnp_ds40_4x6.raw,ADDMORE
dnpds80,0x1343,0x0004,dnp_ds80_8x12.raw,ADDMORE
dnpds80dx,0x1343,0x0007,dnp_ds80_8x12.raw,FIXME?
dnpds820,0x1452,0x9001,dnp_ds80_8x12.raw,ADDMORE
dnprx1,0x1343,0x0005,dnp_ds40_4x6.raw,ADDMORE
citizencw02,0x1343,0x0006,citizen_cw01_4x6.raw
fujiask300,0x04cb,0x5006,mitsu_d70x_4x6-16bpp.raw,FIXME?
fujiask300,0x04cb,0x5006,mitsu_d70x_4x6-8bpp.raw,FIXME?
magicard,0x0c1f,0x1800,magicard-native.raw,FAMILY
magicard,0x0c1f,0x1800,magicard-8bpp.raw,FAMILY
tango2e,0x0c1f,0x1800,magicard-native.raw
enduro,0x0c1f,0x4800,magicard-native.raw
enduroplus,0x0c1f,0x880a,magicard-native.raw
