INDEX,ENHTH,NOISETH,NRGAIN,NRTH,NRK,HDENHGAIN,ENHDARKGAIN,DTCTAREA,CORCOL,HIGH_DOWN_MODE,HIGH_TH,HIGH_G
7,7,7,7,7,7,7,7,7,7,7,7,7
0,96,8,40,32,1,0,0,1,2,1,800,0.1
1,96,8,40,32,1,32,0,1,2,1,800,0.1
2,96,8,40,32,1,64,0,1,2,1,800,0.1
3,96,8,40,32,1,96,0,1,2,1,800,0.1
4,96,8,40,32,1,144,0,1,2,1,800,0.1
5,96,8,40,32,1,192,0,1,2,1,800,0.1
6,96,8,40,32,1,255,0,1,2,1,800,0.1
