INDEX,GNM_A-B,GNM_A-G,GNM_A-R
95,6189,5971,5820
96,6250,6030,5880
97,6314,6092,5938
98,6378,6154,5997
99,6442,6217,6056
100,6507,6280,6114
101,6572,6343,6173
102,6637,6406,6231
103,6701,6469,6290
104,6767,6532,6348
105,6832,6596,6407
106,6897,6660,6466
107,6963,6724,6524
108,7028,6788,6583
109,7094,6852,6642
110,7159,6916,6701
111,7225,6981,6760
112,7291,7045,6818
113,7357,7110,6878
114,7423,7175,6937
115,7489,7240,6996
116,7555,7305,7055
117,7621,7371,7115
118,7687,7436,7174
119,7753,7502,7234
120,7820,7568,7294
121,7886,7634,7354
122,7952,7700,7414
123,8018,7766,7475
124,8085,7832,7535
125,8151,7899,7596
126,8217,7966,7657
127,8283,8032,7718
128,8350,8100,7780
129,8415,8171,7848
130,8480,8244,7917
131,8545,8316,7986
132,8610,8388,8056
133,8676,8461,8126
134,8741,8533,8195
135,8806,8606,8265
136,8871,8679,8336
137,8937,8752,8406
138,9002,8825,8476
139,9067,8898,8547
140,9133,8971,8618
141,9198,9045,8689
142,9263,9118,8760
143,9329,9192,8831
144,9395,9265,8903
145,9460,9339,8974
146,9526,9413,9046
147,9592,9487,9118
148,9658,9561,9190
149,9724,9634,9262
150,9790,9708,9334
151,9857,9782,9406
152,9923,9856,9479
153,9989,9931,9551
154,10056,10005,9623
155,10123,10079,9696
156,10190,10153,9769
157,10257,10227,9841
158,10324,10301,9914
159,10392,10375,9987
160,10460,10450,10060
161,10535,10523,10134
162,10611,10597,10208
163,10687,10671,10283
164,10763,10745,10357
165,10839,10819,10432
166,10916,10892,10506
167,10992,10966,10581
168,11069,11040,10655
169,11146,11114,10730
170,11222,11187,10805
171,11299,11261,10879
172,11376,11335,10954
173,11454,11408,11029
174,11531,11482,11103
175,11608,11555,11178
176,11685,11629,11253
177,11763,11702,11328
178,11840,11776,11402
179,11918,11849,11477
180,11995,11923,11552
181,12073,11996,11627
182,12150,12069,11702
183,12228,12143,11776
184,12306,12216,11851
185,12383,12289,11926
186,12461,12362,12001
187,12538,12435,12076
188,12616,12508,12151
189,12693,12581,12225
190,12770,12654,12300
191,12848,12727,12375
192,12925,12800,12450
193,12998,12869,12524
194,13071,12938,12599
195,13144,13008,12673
196,13217,13077,12748
197,13289,13146,12822
198,13362,13215,12896
199,13434,13284,12970
200,13507,13353,13045
201,13579,13422,13119
202,13651,13491,13193
203,13723,13559,13267
204,13795,13628,13341
205,13867,13696,13415
206,13938,13765,13489
207,14010,13833,13563
208,14081,13901,13636
209,14152,13969,13710
210,14223,14036,13783
211,14294,14104,13857
212,14365,14172,13930
213,14436,14239,14003
214,14506,14306,14076
215,14576,14373,14149
216,14646,14440,14222
217,14716,14507,14295
218,14786,14574,14367
219,14855,14640,14440
220,14924,14706,14512
221,14994,14772,14584
222,15062,14838,14656
223,15131,14904,14728
224,15200,14970,14800
225,15254,15022,14860
226,15308,15075,14920
227,15361,15128,14980
228,15415,15180,15040
229,15468,15233,15100
230,15521,15285,15160
231,15574,15337,15219
232,15627,15389,15278
233,15679,15440,15338
234,15731,15492,15397
235,15783,15543,15456
236,15835,15595,15515
237,15886,15646,15574
238,15938,15697,15632
239,15989,15748,15691
240,16040,15800,15750
241,16073,15846,15803
242,16106,15893,15855
243,16138,15939,15908
244,16171,15986,15961
245,16203,16032,16013
246,16236,16078,16066
247,16268,16124,16118
248,16300,16170,16170
249,16321,16199,16199
250,16340,16229,16229
251,16357,16259,16259
252,16370,16290,16290
253,16377,16320,16320
254,16381,16351,16351
255,16383,16383,16383
