INDEX,GNM_A-B,GNM_A-G,GNM_A-R
256,256,256,256
0,0,0,0
1,61,63,60
2,123,127,121
3,186,190,182
4,248,254,243
5,310,318,304
6,372,381,365
7,434,445,426
8,496,509,486
9,559,572,547
10,621,636,608
11,684,700,669
12,747,764,730
13,810,828,791
14,873,892,852
15,936,956,913
16,1000,1020,974
17,1063,1084,1035
18,1127,1148,1096
19,1191,1212,1157
20,1255,1277,1219
21,1320,1341,1280
22,1385,1406,1341
23,1450,1470,1402
24,1515,1535,1464
25,1581,1599,1525
26,1647,1664,1586
27,1713,1729,1648
28,1780,1794,1709
29,1847,1859,1771
30,1914,1925,1832
31,1981,1990,1894
32,2050,2055,1955
33,2118,2121,2017
34,2187,2187,2079
35,2256,2252,2141
36,2325,2318,2203
37,2395,2384,2264
38,2465,2450,2326
39,2535,2516,2388
40,2606,2582,2450
41,2676,2649,2512
42,2747,2715,2574
43,2818,2781,2636
44,2889,2847,2698
45,2960,2913,2761
46,3032,2979,2823
47,3103,3045,2885
48,3174,3111,2947
49,3246,3177,3009
50,3317,3243,3071
51,3388,3309,3133
52,3459,3374,3195
53,3530,3440,3258
54,3601,3505,3320
55,3672,3570,3382
56,3743,3635,3444
57,3813,3700,3506
58,3884,3765,3568
59,3954,3830,3630
60,4024,3894,3692
61,4093,3958,3754
62,4162,4022,3816
63,4231,4086,3878
64,4300,4150,3940
65,4363,4210,4001
66,4427,4270,4062
67,4490,4330,4123
68,4553,4390,4185
69,4616,4450,4246
70,4678,4509,4307
71,4740,4569,4368
72,4802,4628,4429
73,4864,4687,4490
74,4925,4745,4551
75,4986,4804,4612
76,5047,4863,4673
77,5108,4921,4733
78,5168,4980,4794
79,5229,5038,4855
80,5289,5096,4916
81,5349,5154,4976
82,5409,5212,5037
83,5469,5270,5097
84,5529,5329,5158
85,5589,5387,5218
86,5649,5445,5279
87,5708,5503,5339
88,5768,5561,5399
89,5828,5619,5459
90,5888,5678,5520
91,5948,5736,5580
92,6008,5795,5640
93,6068,5853,5700
94,6129,5912,5760
